tiempo_dias,Caudal_Prod_Petroleo_bbl,Caudal_Iny_Agua_bbl,Prod_Acumulada_Petroleo,Prod_Acumulada_Gas,Prod_Acumulada_Agua,Iny_Acumulada_Agua
1631.0,13867.601570204091,60965.188654924365,48420818.80163715,40233148829.1012,30208712.600872155,100309285.75850454
1641.0,13179.89153497688,57992.89680728622,48552618.64141712,40339777651.21784,30614587.800049484,100889218.89112008
1651.0,13891.432520726465,60441.86288559504,48691532.25717795,40452156266.10791,31031690.311451264,101493631.96725246
1661.0,13539.513308469632,61998.2777891102,48826929.86871835,40561614781.8379,31456007.23580623,102113618.61485136
1671.0,13614.482754661569,58208.021848885546,48963072.822835006,40671651893.06709,31882371.49356684,102695696.57293949
1681.0,13362.326759273532,64910.1530559537,49096696.707738265,40779559953.67028,32312292.63931788,103344798.7545927
1691.0,8061.5910362535315,38322.29370806414,49177313.21237736,40844489217.347565,32578659.83561661,103728024.34518726
1701.0,0.0,0.0,49177313.21237736,40844489217.347565,32578659.83561661,103728024.34518726
1706.0,0.0,0.0,49177313.21237736,40844489217.347565,32578659.83561661,103728024.34518726
1711.0,0.0,0.0,49177313.21237736,40844489217.347565,32578659.83561661,103728024.34518726
1721.0,0.0,1637.0553143490968,49177313.21237736,40844489217.347565,32578659.83561661,103744390.4328108
1731.0,0.0,0.0,49177313.21237736,40844489217.347565,32578659.83561661,103744390.4328108
1732.0889892578125,13977.488986879189,40207.67369996163,49192534.55444076,40856612601.16701,32599670.948493797,103788180.09539154
1734.2669677734375,13113.559829405369,40207.67369996163,49221096.58514733,40879458082.83124,32644287.721190788,103875753.13074224
1741.0,11757.674873138098,40207.67369996163,49300260.14349855,40942931817.20582,32795092.22421231,104146466.58628304
1751.0,13563.81261648342,49642.193298375074,49435896.767848216,41051920224.0927,33120778.62588291,104642889.9013053
1761.0,9749.805576849682,34552.51650720196,49533395.12459398,41130206907.30259,33391460.63236986,104988414.36614448
1771.0,16806.670747918175,47116.55786652022,49701462.01327377,41265598254.11839,33789225.120559275,105459584.09092516
1781.0,15309.99676193135,80440.50050060994,49854562.29722634,41388617601.86117,34203906.05481461,106263987.99030048
1791.0,14941.271961523424,64370.08926479991,50003976.75206769,41508617404.34244,34627672.6207272,106907687.22450228
1801.0,14558.944831086044,63461.58015213472,50149563.85705549,41625498215.460754,35053181.46422309,107542303.9719522
1811.0,12808.537790223683,55319.89307465613,50277649.563575774,41728248639.62174,35430928.62963697,108095505.40879524
1821.0,13578.571252057263,62222.42600651141,50413437.14338392,41837146640.96187,35835501.83798491,108717731.22902824
1831.0,14659.162585061264,61752.29336342056,50560027.47318954,41954687412.57148,36263246.70920953,109335252.27080531
1841.0,14256.169372264834,59965.790548154,50702589.179196976,42068919341.16997,36704083.82155191,109934910.24999556
1851.0,13377.619783067095,68666.65654482957,50836364.01955872,42175945947.69232,37137675.07188725,110621568.89175647
1861.0,13058.07405485644,63704.431957226014,50966946.78095469,42280319151.4175,37572036.8240419,111258613.5061636
1871.0,13264.223524202189,64089.87328108175,51099589.45537783,42386238289.99215,38013839.42233747,111899520.06438354
1881.0,13004.28204526828,64040.68499529448,51229631.29304759,42489983175.16741,38458576.21735725,112539923.43774186
1891.0,13138.04340921906,64067.45968782029,51361012.86041135,42594686359.13824,38909716.03974088,113180603.56277406
1892.0889892578125,4203.497736292325,21588.083238662563,51365588.69774652,42598311621.56299,38927833.83966387,113204102.29581076
1894.2669677734373,4450.410431173971,21588.083238662563,51375281.29614309,42605996093.03691,38963314.66221744,113251124.9211273
1901.0,5088.045372576885,21588.083238662563,51409538.75050189,42633217203.16394,39066860.672018565,113396482.448022
1911.0,6588.326479046799,22526.479701673587,51475424.51831765,42685548453.90134,39156462.1713426,113621745.73093878
1921.0,10849.34849667447,50601.13760267354,51583917.464289375,42771908352.43618,39447689.84470976,114127761.00738528
1931.0,6290.635386304563,31085.371954516067,51646821.86180014,42821870977.84867,39623065.49350428,114438603.45563868
